_id,title,addr1,sigungucode,eventstartdate,eventenddate,contentid,activation_rate,firstimage,mapx,mapy
676493f3ad8a746cbcbdf6f0,PLAY WALK 호스아일랜드,부산광역시 강서구 가락대로 929 (범방동),1,20241110,20241117,3400440,4.93%,http://tong.visitkorea.or.kr/cms/resource/97/3399797_image2_1.jpg,128.8819461313,35.1548752485
676493f3ad8a746cbcbdf6f1,연제오방맛길 빛 축제,"부산광역시 연제구 고분로13번길 25 (연산동, 연산동 쌍용아파트)",13,20241025,20250210,3393256,1.24%,http://tong.visitkorea.or.kr/cms/resource/69/3393169_image2_1.jpg,129.0845137227,35.1871559163
676493f3ad8a746cbcbdf6f2,다대포 선셋 영화 축제,부산광역시 사하구 몰운대1길 14 (다대동),55,20241018,20241020,3383748,-0.75%,http://tong.visitkorea.or.kr/cms/resource/60/3383460_image2_1.png,128.9680471374,35.0463945293
676493f3ad8a746cbcbdf6f3,부산환경공단과 함께하는 ‘불편한 음악회’,부산광역시 남구 용호동,4,20241011,20241011,3377765,2.32%,http://tong.visitkorea.or.kr/cms/resource/64/3377764_image2_1.jpg,129.1164265191,35.1257383832
676493f3ad8a746cbcbdf6f4,부산골목페스티벌 다대 바다누리길,부산광역시 사하구 몰운대1길 55 (다대동),55,20241004,20241006,3377085,-0.30%,http://tong.visitkorea.or.kr/cms/resource/75/3377075_image2_1.jpg,128.9692331756,35.0452863418
676493f3ad8a746cbcbdf6f5,페스티벌 시월,부산광역시 해운대구 APEC로 55 (우동),16,20241001,20241008,3370514,4.16%,http://tong.visitkorea.or.kr/cms/resource/91/3370491_image2_1.jpg,129.1355209016,35.1687450332
676493f3ad8a746cbcbdf6f6,부산골목페스티벌 수영 망미골목,부산광역시 수영구 망미번영로 49-1 (망미동),12,20240927,20240929,3370245,10.39%,http://tong.visitkorea.or.kr/cms/resource/44/3370244_image2_1.jpg,129.1096508423,35.1719386413
676493f3ad8a746cbcbdf6f7,부산청년주간,부산광역시 수영구 민락수변로17번길 56 (민락동),12,20240921,20240927,3368584,-5.57%,http://tong.visitkorea.or.kr/cms/resource/36/3368536_image2_1.jpg,129.1270664784,35.1542603874
676493f3ad8a746cbcbdf6f8,조선통신사역사관 체험프로그램,부산광역시 동구 자성로 99 (범일동),5,20241026,20241027,3367145,14.18%,http://tong.visitkorea.or.kr/cms/resource/20/3367120_image2_1.jpg,129.0621226334,35.1357584814
676493f3ad8a746cbcbdf6f9,사회참여예술 컨벤션,부산광역시 동구 중앙대로 380 (좌천동),5,20240928,20240929,3362545,18.54%,http://tong.visitkorea.or.kr/cms/resource/96/3362496_image2_1.jpg,129.0494239230,35.1290034480
676493f3ad8a746cbcbdf6fa,2024 대한민국 해양 모빌리티･안전 엑스포,부산광역시 해운대구 APEC로 55 (우동),16,20240910,20240912,3359994,-3.29%,http://tong.visitkorea.or.kr/cms/resource/82/3359982_image2_1.png,129.1355209016,35.1687450332
676493f3ad8a746cbcbdf6fb,구룡마을축제,부산광역시 영도구 중리로 35 (동삼동),14,20240928,20240928,3359409,11.53%,http://tong.visitkorea.or.kr/cms/resource/36/3359136_image2_1.jpg,129.0680488034,35.0740516073
676493f3ad8a746cbcbdf6fc,별바다부산 나이트마켓,부산광역시 북구 생태공원길 270 (화명동),8,20240921,20241013,3356047,6.32%,http://tong.visitkorea.or.kr/cms/resource/32/3356032_image2_1.jpeg,129.0078550672,35.2397152762
676493f3ad8a746cbcbdf6fd,부산골목페스티벌 영도구 봉산마을 마실길,부산광역시 영도구 오동꽃길 32 (봉래동5가),14,20240906,20240908,3352061,-0.72%,http://tong.visitkorea.or.kr/cms/resource/60/3352060_image2_1.jpg,129.0520469096,35.0926381216
